metabolite,shap_mean_abs,shap_rank,log2fc,effect_size,p_value,abs_log2fc,fc_rank,p_adjusted,neg_log10_p,pval_rank,combined_score,final_rank
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.0051017685764005,12.0,4.982334908709596,28.786273900680214,0.0092096816039681,4.982334908709596,6.0,0.0355087794495927,1.4496642555332737,46.5,21.5,1
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.0051017685764005,12.0,4.709186813399669,-12.01158705359276,0.0092096816039681,4.709186813399669,8.0,0.0355087794495927,1.4496642555332737,46.5,22.166666666666668,2
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.0045730257878916,15.0,4.982334908709596,28.786273900680214,0.0092096816039681,4.982334908709596,6.0,0.0355087794495927,1.4496642555332737,46.5,22.5,3
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.0045730257878916,15.0,4.709186813399669,-12.01158705359276,0.0092096816039681,4.709186813399669,8.0,0.0355087794495927,1.4496642555332737,46.5,23.166666666666668,4
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.0051017685764005,12.0,4.404983638464362,28.1668385892178,0.0092096816039681,4.404983638464362,13.0,0.0355087794495927,1.4496642555332737,46.5,23.833333333333332,5
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.0051017685764005,12.0,4.355557780399061,-8.29279377181958,0.0092096816039681,4.355557780399061,14.0,0.0355087794495927,1.4496642555332737,46.5,24.166666666666668,6
Benzeneacetaldehyde,0.005650331395911,6.0,3.684206008676468,-895010023.9333483,0.0077418770248466,3.684206008676468,21.0,0.0355087794495927,1.4496642555332737,46.5,24.5,7
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.0045730257878916,15.0,4.404983638464362,28.1668385892178,0.0092096816039681,4.404983638464362,13.0,0.0355087794495927,1.4496642555332737,46.5,24.833333333333332,8
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.0045730257878916,15.0,4.355557780399061,-8.29279377181958,0.0092096816039681,4.355557780399061,14.0,0.0355087794495927,1.4496642555332737,46.5,25.166666666666668,9
p-Cresol,0.0056720763133972,5.0,3.307008353663316,-1.2566822255260586,0.0081275154892922,3.307008353663316,24.0,0.0355087794495927,1.4496642555332737,46.5,25.166666666666668,10
Benzeneacetaldehyde,0.005650331395911,6.0,3.2409139496755874,-22.465035688046047,0.0077418770248466,3.2409139496755874,25.0,0.0355087794495927,1.4496642555332737,46.5,25.833333333333332,11
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.0038298840254395,27.0,4.982334908709596,28.786273900680214,0.0092096816039681,4.982334908709596,6.0,0.0355087794495927,1.4496642555332737,46.5,26.5,12
Benzeneacetaldehyde,0.005650331395911,6.0,2.88819784815039,-8.549817546032552,0.0077418770248466,2.88819784815039,27.0,0.0355087794495927,1.4496642555332737,46.5,26.5,13
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.0038298840254395,27.0,4.709186813399669,-12.01158705359276,0.0092096816039681,4.709186813399669,8.0,0.0355087794495927,1.4496642555332737,46.5,27.166666666666668,14
Benzeneacetaldehyde,0.0045103730111573,16.0,3.684206008676468,-895010023.9333483,0.0077418770248466,3.684206008676468,21.0,0.0355087794495927,1.4496642555332737,46.5,27.833333333333332,15
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.0051017685764005,12.0,2.7164025471651705,-1.667789390349652,0.0092096816039681,2.7164025471651705,28.0,0.0355087794495927,1.4496642555332737,46.5,28.833333333333332,16
