experiment,cluster,is_outlier
Exp_1,0,False
Exp_2,0,False
Exp_3,0,False
Exp_4,0,False
Exp_5,0,False
Exp_6,0,False
Exp_7,0,False
Exp_8,0,False
Exp_9,1,True
Exp_10,0,False
Exp_11,0,False
Exp_12,0,False
Exp_13,0,False
Exp_14,0,False
Exp_15,0,False
Exp_16,0,False
Exp_17,0,False
