metabolite,mean_c0,mean_c1,log2fc,effect_size,p_value
"2,3-Pentanedione",0.14110479525108982,-0.3990934585942518,,-1.0184615101439645,0.11764705882352941
"2,3-Pentanedione",0.21321040873286412,-3.39664869944423,,-6.938576909002785,0.11764705882352941
"2,3-Pentanedione",0.1954382556234507,-3.227528635591027,,-6.671956568656638,0.11764705882352941
"Butanal, 2-methyl-",-0.09050165445221658,0.6387240389332399,,1.2959608571805767,0.11764705882352941
"Disulfide, dimethyl",0.87819256894344,-1.7225191320858515,,-0.7999459624700652,0.11764705882352941
"Disulfide, dimethyl",0.3789842263205272,-0.1973284340194028,,-0.342748665739029,0.11764705882352941
"Disulfide, dimethyl",0.2144743313745363,-3.9822406252207903,,-6.539051153175333,0.11764705882352941
"Disulfide, dimethyl",0.16594098307788333,-1.8455058601926413,,-2.483354612838752,0.11764705882352941
Toluene,0.07121347809976006,-0.2351079737353634,,-0.35788291980901354,0.1527901179143042
Hexanal,0.3687287701822219,-8.718961861893568,,-3.177308831980457,0.11764705882352941
Hexanal,0.3251693966192976,-4.969536308610533,,-2.815399065955289,0.11764705882352941
Hexanal,0.3177559961748801,-0.7629575754018156,,-2.220045258926393,0.11764705882352941
Hexanal,0.098647112517628,-1.9454186511776763,,-2.934506599178116,0.11764705882352941
"Acetic acid, methoxy-",1.7708273402553456,-16.22193450328952,,-3.618484611292277,0.11764705882352941
Methional,0.19993111626323823,-4.449799949772764,,-3.5149154483658593,0.11764705882352941
Heptanal,0.21180486448916394,-5.5771671114372845,,-6.265747886962827,0.11764705882352941
