metabolite,shap_mean_abs,shap_rank,log2fc,effect_size,p_value,abs_log2fc,fc_rank,p_adjusted,neg_log10_p,pval_rank,combined_score,final_rank,matched_biomarker,Condiciones,Evidencia,Origen_probable,Confianza_origen,Vinculo Microbio.,Volatilidad,Matriz,Flag_contaminante,match_score
"5,9-Undecadien-2-one, 6,10-dimethyl-",0.0026521739130434,46.0,7.010074042928975,-10.618950303595389,0.1176470588235294,7.010074042928975,20.0,0.1666169005673335,0.7782809486022882,60.5,42.166666666666664,19,,Depres.,dataset_metabolomics,Desconocido,Baja,Desconocido,No-volatil,serum tissue,No,0.0
"Indole, 3-methyl-",0.0049574468085106,8.0,5.808529629891703,-9.12706378978794,0.1176470588235294,5.808529629891703,60.0,0.1666169005673335,0.7782809486022882,60.5,42.833333333333336,20,"Indole, 3-methyl-",Esquiz.,unknown,Biológico microbiano,Alta,Si,VOC,fecal,No,1.0
3-Carene,0.004,18.0,5.954121554768563,-8.496446310895335,0.1176470588235294,5.954121554768563,52.0,0.1666169005673335,0.7782809486022882,60.5,43.5,21,,Depres.,dataset_metabolomics,Desconocido,Baja,Desconocido,No-volatil,serum tissue,No,0.0
"Bicyclo[3.1.1]hept-2-ene, 3,6,6-trimethyl-",0.0033191489361702,32.0,6.235439179021731,-12.07080968695095,0.1176470588235294,6.235439179021731,39.0,0.1666169005673335,0.7782809486022882,60.5,43.833333333333336,22,,Depres.,dataset_metabolomics,Desconocido,Baja,Desconocido,No-volatil,serum tissue,No,0.0
1-Pentadecene,0.0033191489361702,32.0,6.226542919307403,-13.644830556277933,0.1176470588235294,6.226542919307403,40.0,0.1666169005673335,0.7782809486022882,60.5,44.166666666666664,23,1-pentadecene,Ansied.,dataset_metabolomics text_mining_claim,Desconocido,Baja,Posible,No-volatil,fecal; serum; tissue fecal; tissue,No,1.0
2-Hexadecanone,0.0054838709677419,4.0,5.62803353268266,-11.414193401760484,0.1176470588235294,5.62803353268266,69.0,0.1666169005673335,0.7782809486022882,60.5,44.5,24,2-Hexadecanone,Ansied.,dataset_metabolomics,Biológico humano,Baja,Posible,No-volatil,fecal fecal; serum fecal; serum; tissue tissue,No,1.0
2-Hexadecanone,0.0054838709677419,4.0,5.595582751497163,-10.86765487501622,0.1176470588235294,5.595582751497163,72.0,0.1666169005673335,0.7782809486022882,60.5,45.5,25,2-Hexadecanone,Ansied.,dataset_metabolomics,Biológico humano,Baja,Posible,No-volatil,fecal fecal; serum fecal; serum; tissue tissue,No,1.0
"Tetradecane, 3-methyl-",0.0036382978723404,24.5,5.934330254754043,-14.600679792023726,0.1176470588235294,5.934330254754043,53.0,0.1666169005673335,0.7782809486022882,60.5,46.0,26,,Depres.,dataset_metabolomics,Desconocido,Baja,Desconocido,No-volatil,serum tissue,No,0.0
"Butanal, 3-methyl-",0.0023191489361702,70.5,8.661633520137054,0.1444515682846584,0.1176470588235294,8.661633520137054,8.0,0.1666169005673335,0.7782809486022882,60.5,46.333333333333336,27,Butanal,Depres.Esquiz.,dataset_metabolomics,Biológico humano,Baja,Posible,No-volatil,fecal fecal; serum; bile fecal; serum; tissue tissue unknown,No,0.0
1-Pentadecene,0.0033191489361702,32.0,6.103199454018753,-14.581525824640266,0.1176470588235294,6.103199454018753,47.0,0.1666169005673335,0.7782809486022882,60.5,46.5,28,1-pentadecene,Ansied.,dataset_metabolomics text_mining_claim,Desconocido,Baja,Posible,No-volatil,fecal; serum; tissue fecal; tissue,No,1.0
"5,9-Undecadien-2-one, 6,10-dimethyl-",0.0026521739130434,46.0,6.329493540353573,-8.081040453739075,0.1176470588235294,6.329493540353573,33.0,0.1666169005673335,0.7782809486022882,60.5,46.5,29,,Depres.,dataset_metabolomics,Desconocido,Baja,Desconocido,No-volatil,serum tissue,No,0.0
"1-Isopropyl-4,7-dimethyl-1,2,3,5,6,8a-hexahydronaphthalene",0.0023191489361702,70.5,8.259426809960747,-11.59832778723136,0.1176470588235294,8.259426809960747,10.0,0.1666169005673335,0.7782809486022882,60.5,47.0,30,,Depres.,dataset_metabolomics,Desconocido,Baja,Desconocido,No-volatil,serum tissue,No,0.0
