compound_name,matched_biomarker,match_score,match_method,Condiciones,Evidencia,Origen_probable,Volatilidad,Matriz,Metodo,Vinculo Microbio.,Confianza_origen,InChIKey,CID,Flag_contaminante,Match Quality,Est. Retention Time (min),Hit 1: Match Factor,Exp_1.CDF,Exp_2.CDF,Exp_3.CDF,Exp_4.CDF,Exp_5.CDF,Exp_6.CDF,Exp_7.CDF,Exp_8.CDF,Exp_9.CDF,Exp_10.CDF,Exp_11.CDF,Exp_12.CDF,Exp_13.CDF,Exp_14.CDF,Exp_15.CDF,Exp_16.CDF,Exp_17.CDF
2-Propenal,"2-Propenal, 3-(1,3-benzodioxol-5-yl)-",0.0,derivative,Ansied.,dataset_metabolomics,Biológico humano,Desconocido,fecal fecal; tissue,-,Posible,Baja,-,-,No,Fair,1.415333333333333,730,152.3108988581999,123.28513996660465,1413.5531602404092,211.82952854995472,1639.1444995707209,1770.038001285085,1193.1460474282248,1811.6085660634528,61.12585572201755,1269.3321680901904,50939.83037217533,1584.4902569791004,1477.363617440542,1110.2707038624867,1280.7867544448957,1355.5127339190508,1616.773597647656
2-Propenal,"2-Propenal, 3-(1,3-benzodioxol-5-yl)-",0.0,derivative,Ansied.,dataset_metabolomics,Biológico humano,Desconocido,fecal fecal; tissue,-,Posible,Baja,-,-,No,Fair,1.62705,777,965.8661548123804,1100.0093720707057,24746.27150637908,825.893893474954,46080.32314427905,64677.71886101122,47262.50550229995,49556.51169833551,0.0,22446.203969924394,8709.406512186068,36791.28939676294,50101.29434466389,42123.58087394176,42153.73155498845,47060.576373418655,52474.693646614935
2-Propenal,"2-Propenal, 3-(1,3-benzodioxol-5-yl)-",0.0,derivative,Ansied.,dataset_metabolomics,Biológico humano,Desconocido,fecal fecal; tissue,-,Posible,Baja,-,-,No,Good,1.62705,871,2803.1896512490284,2948.032025396556,23787.427066418182,4269.234888805193,44908.86716480229,62741.53149212462,45332.94497308658,48224.97440705324,0.0,22317.69017436313,9791.79330122243,36010.32451536397,48529.87873387036,40976.131322419926,41262.16415271288,45901.84469277511,50790.51251579684
"Benzene, 1-chloro-3-fluoro-",Benzene,0.0,derivative,Ansied.AutismDepres.Esquiz.,dataset_metabolomics text_mining_claim,Ambiente/limpieza,No-volatil,fecal fecal; csf; tissue fecal; plasma fecal; serum fecal; serum; tissue fecal; tissue serum; bile tissue; bile unknown,LC,Posible,Media,-,-,Posible_contaminante,Poor/No match,1.497866666666667,606,0.0,0.0,117906.38620309424,0.0,37687.70681336748,82229.62165367402,839.7590756990826,19849.444646092223,0.0,7295.656554211345,9186.87616597869,55066.21461563757,65991.08094734576,155530.17355407256,111063.53599504213,143693.4352828992,17069.756411213286
2-Propenal,"2-Propenal, 3-(1,3-benzodioxol-5-yl)-",0.0,derivative,Ansied.,dataset_metabolomics,Biológico humano,Desconocido,fecal fecal; tissue,-,Posible,Baja,-,-,No,Fair,1.415333333333333,730,152.3108988581999,123.28513996660465,1413.5531602404092,211.82952854995472,1639.1444995707209,1770.038001285085,1193.1460474282248,1811.6085660634528,61.12585572201755,1269.3321680901904,50939.83037217533,1584.4902569791004,1477.363617440542,1110.2707038624867,1280.7867544448957,1355.5127339190508,1616.773597647656
2-Propenal,"2-Propenal, 3-(1,3-benzodioxol-5-yl)-",0.0,derivative,Ansied.,dataset_metabolomics,Biológico humano,Desconocido,fecal fecal; tissue,-,Posible,Baja,-,-,No,Fair,1.62705,777,965.8661548123804,1100.0093720707057,24746.27150637908,825.893893474954,46080.32314427905,64677.71886101122,47262.50550229995,49556.51169833551,0.0,22446.203969924394,8709.406512186068,36791.28939676294,50101.29434466389,42123.58087394176,42153.73155498845,47060.576373418655,52474.693646614935
2-Propenal,"2-Propenal, 3-(1,3-benzodioxol-5-yl)-",0.0,derivative,Ansied.,dataset_metabolomics,Biológico humano,Desconocido,fecal fecal; tissue,-,Posible,Baja,-,-,No,Good,1.62705,871,2803.1896512490284,2948.032025396556,23787.427066418182,4269.234888805193,44908.86716480229,62741.53149212462,45332.94497308658,48224.97440705324,0.0,22317.69017436313,9791.79330122243,36010.32451536397,48529.87873387036,40976.131322419926,41262.16415271288,45901.84469277511,50790.51251579684
2-Propenal,"2-Propenal, 3-(1,3-benzodioxol-5-yl)-",0.0,derivative,Ansied.,dataset_metabolomics,Biológico humano,Desconocido,fecal fecal; tissue,-,Posible,Baja,-,-,No,Fair,1.415333333333333,730,152.3108988581999,123.28513996660465,1413.5531602404092,211.82952854995472,1639.1444995707209,1770.038001285085,1193.1460474282248,1811.6085660634528,61.12585572201755,1269.3321680901904,50939.83037217533,1584.4902569791004,1477.363617440542,1110.2707038624867,1280.7867544448957,1355.5127339190508,1616.773597647656
2-Propenal,"2-Propenal, 3-(1,3-benzodioxol-5-yl)-",0.0,derivative,Ansied.,dataset_metabolomics,Biológico humano,Desconocido,fecal fecal; tissue,-,Posible,Baja,-,-,No,Fair,1.62705,777,965.8661548123804,1100.0093720707057,24746.27150637908,825.893893474954,46080.32314427905,64677.71886101122,47262.50550229995,49556.51169833551,0.0,22446.203969924394,8709.406512186068,36791.28939676294,50101.29434466389,42123.58087394176,42153.73155498845,47060.576373418655,52474.693646614935
2-Propenal,"2-Propenal, 3-(1,3-benzodioxol-5-yl)-",0.0,derivative,Ansied.,dataset_metabolomics,Biológico humano,Desconocido,fecal fecal; tissue,-,Posible,Baja,-,-,No,Good,1.62705,871,2803.1896512490284,2948.032025396556,23787.427066418182,4269.234888805193,44908.86716480229,62741.53149212462,45332.94497308658,48224.97440705324,0.0,22317.69017436313,9791.79330122243,36010.32451536397,48529.87873387036,40976.131322419926,41262.16415271288,45901.84469277511,50790.51251579684
Acetone,Acetone,1.0,exact,Ansied.AutismBipolarDepres.Esquiz.,dataset_metabolomics text_mining_claim,Ambiente/limpieza,No-volatil,fecal fecal; serum serum; bile,LC,Posible,Media,CSCPPACGZOOCGX-UHFFFAOYSA-N,-,Posible_contaminante,Excellent,1.63065,771,0.0,0.0,188469.59782401813,178.92915637764767,121944.17725663209,105260.53628828954,82024.37004826596,89532.1069803204,84364311.12079827,27041.45898155805,3303.4315831894023,129339.33455348673,147727.64665921094,185774.0335784244,147877.49696186397,99136.4282159341,145261.77223282275
Acetone,Acetone,1.0,exact,Ansied.AutismBipolarDepres.Esquiz.,dataset_metabolomics text_mining_claim,Ambiente/limpieza,No-volatil,fecal fecal; serum serum; bile,LC,Posible,Media,CSCPPACGZOOCGX-UHFFFAOYSA-N,-,Posible_contaminante,Excellent,1.63065,939,140.01844348909478,246.31576882074745,192063.152217469,196.499336539211,128746.82172597435,115330.580447441,89953.20305042935,98144.87166755422,0.0,30843.558421597936,2956.0448873429987,135454.4997280268,155091.95642919888,193077.03793253464,152545.84601488133,107013.4188420927,153820.2854813494
Acetone,Acetone,1.0,exact,Ansied.AutismBipolarDepres.Esquiz.,dataset_metabolomics text_mining_claim,Ambiente/limpieza,No-volatil,fecal fecal; serum serum; bile,LC,Posible,Media,CSCPPACGZOOCGX-UHFFFAOYSA-N,-,Posible_contaminante,Excellent,1.63065,771,0.0,0.0,188469.59782401813,178.92915637764767,121944.17725663209,105260.53628828954,82024.37004826596,89532.1069803204,84364311.12079827,27041.45898155805,3303.4315831894023,129339.33455348673,147727.64665921094,185774.0335784244,147877.49696186397,99136.4282159341,145261.77223282275
Acetone,Acetone,1.0,exact,Ansied.AutismBipolarDepres.Esquiz.,dataset_metabolomics text_mining_claim,Ambiente/limpieza,No-volatil,fecal fecal; serum serum; bile,LC,Posible,Media,CSCPPACGZOOCGX-UHFFFAOYSA-N,-,Posible_contaminante,Excellent,1.63065,939,140.01844348909478,246.31576882074745,192063.152217469,196.499336539211,128746.82172597435,115330.580447441,89953.20305042935,98144.87166755422,0.0,30843.558421597936,2956.0448873429987,135454.4997280268,155091.95642919888,193077.03793253464,152545.84601488133,107013.4188420927,153820.2854813494
"Propanal, 2-methyl-",Propanal,0.0,derivative,Ansied.Esquiz.,dataset_metabolomics,Biológico humano,No-volatil,fecal fecal; csf; tissue fecal; serum; tissue fecal; tissue unknown,LC,Posible,Baja,NBBJYMSMWIIQGU-UHFFFAOYSA-N,-,No,Excellent,1.8962,919,0.0,31.768166094953813,39089.96569942612,0.0,56593.03454480037,74111.11548240721,65396.940025280295,39820.767240116336,0.0,6960.723490199272,5700.443874663718,59720.73763901886,45570.29481148301,60460.02028431974,53075.24876164639,62423.32617388774,79088.88758192377
"Propanal, 2-methyl-",Propanal,0.0,derivative,Ansied.Esquiz.,dataset_metabolomics,Biológico humano,No-volatil,fecal fecal; csf; tissue fecal; serum; tissue fecal; tissue unknown,LC,Posible,Baja,NBBJYMSMWIIQGU-UHFFFAOYSA-N,-,No,Excellent,1.8962,926,0.0,0.0,38993.65696648138,0.0,55955.458011122864,73785.55673011484,65386.9942359761,38989.638111348126,0.0,6052.180562702111,12775.823979657152,59221.90871636496,45252.88177567018,59625.93987076729,53207.92466907114,61879.47723727663,78626.41937361723
"Propanal, 2-methyl-",Propanal,0.0,derivative,Ansied.Esquiz.,dataset_metabolomics,Biológico humano,No-volatil,fecal fecal; csf; tissue fecal; serum; tissue fecal; tissue unknown,LC,Posible,Baja,NBBJYMSMWIIQGU-UHFFFAOYSA-N,-,No,Good,2.0792166666666665,863,73267.19276049318,68150.30149860104,40986.88637556321,77528.57650425672,50665.9115565582,45532.36922886319,19589.63734229365,36781.60740665462,0.0,15965.725328327784,3986.4969913759937,46042.1569242962,43902.86185278434,53533.59704673405,17838.177524152303,32298.75202266477,28813.42076113254
"Propanal, 2-methyl-",Propanal,0.0,derivative,Ansied.Esquiz.,dataset_metabolomics,Biológico humano,No-volatil,fecal fecal; csf; tissue fecal; serum; tissue fecal; tissue unknown,LC,Posible,Baja,NBBJYMSMWIIQGU-UHFFFAOYSA-N,-,No,Excellent,1.8962,919,0.0,31.768166094953813,39089.96569942612,0.0,56593.03454480037,74111.11548240721,65396.940025280295,39820.767240116336,0.0,6960.723490199272,5700.443874663718,59720.73763901886,45570.29481148301,60460.02028431974,53075.24876164639,62423.32617388774,79088.88758192377
"Propanal, 2-methyl-",Propanal,0.0,derivative,Ansied.Esquiz.,dataset_metabolomics,Biológico humano,No-volatil,fecal fecal; csf; tissue fecal; serum; tissue fecal; tissue unknown,LC,Posible,Baja,NBBJYMSMWIIQGU-UHFFFAOYSA-N,-,No,Excellent,1.8962,926,0.0,0.0,38993.65696648138,0.0,55955.458011122864,73785.55673011484,65386.9942359761,38989.638111348126,0.0,6052.180562702111,12775.823979657152,59221.90871636496,45252.88177567018,59625.93987076729,53207.92466907114,61879.47723727663,78626.41937361723
"Propanal, 2-methyl-",Propanal,0.0,derivative,Ansied.Esquiz.,dataset_metabolomics,Biológico humano,No-volatil,fecal fecal; csf; tissue fecal; serum; tissue fecal; tissue unknown,LC,Posible,Baja,NBBJYMSMWIIQGU-UHFFFAOYSA-N,-,No,Good,2.0792166666666665,863,73267.19276049318,68150.30149860104,40986.88637556321,77528.57650425672,50665.9115565582,45532.36922886319,19589.63734229365,36781.60740665462,0.0,15965.725328327784,3986.4969913759937,46042.1569242962,43902.86185278434,53533.59704673405,17838.177524152303,32298.75202266477,28813.42076113254
Acetic acid ethenyl ester,Acetic Acid,0.0,derivative,TDAHAnsied.AutismBipolarDepres.PTSDEsquiz.,dataset_metabolomics text_mining_claim,Biológico microbiano,Mixto,fecal fecal; plasma fecal; serum fecal; tissue fecal; tissue; bile plasma serum; bile serum; tissue unknown,GC|LC,Si,Alta,-,-,No,Good,2.046933333333333,820,95.92019720887583,108.15023204233506,62544.090906087775,126.77918616928446,43502.56903079086,49199.00781333511,32047.20111250909,32487.688704958546,0.0,14877.31637776622,1160.6736192523404,43244.62902815032,51225.59340971104,68571.97306068827,45746.63067683215,48499.69233664384,50359.41630656458
