Compound Name,Match Quality,Est. Retention Time (min),Hit 1: Match Factor,Hit 1: Reverse Match Factor,Comments,Hit 2: Compound,Hit 2: Match Factor,Hit 2: Reverse Match Factor,Retention Indices,Compound ID,Interval ID,Model Order,Component #,Exp_1.CDF,Exp_10.CDF,Exp_11.CDF,Exp_12.CDF,Exp_13.CDF,Exp_14.CDF,Exp_15.CDF,Exp_16.CDF,Exp_17.CDF,Exp_2.CDF,Exp_3.CDF,Exp_4.CDF,Exp_5.CDF,Exp_6.CDF,Exp_7.CDF,Exp_8.CDF,Exp_9.CDF,is_contamination
"Propane, 2-methoxy-2-methyl-",Excellent,1.9105666666666667,952,952,,"Propane, 2-methoxy-2-methyl-",927,927,0,1,1,8,2,0.0,18721.496552277902,3212.226638960896,122724.79619553473,168869.8691463006,480402.90616972616,313920.6963408334,350058.6572533722,32720.41674255252,0.0,172790.0447075493,0.0,96618.98717900923,235688.29696753272,10773.678580980348,75433.79470495407,0.0,False
"Propane, 2-methoxy-2-methyl-",Excellent,1.9105666666666667,909,911,,"Propane, 2-methoxy-2-methyl-",886,887,0,210,115,7,7,0.0,18631.384641370878,5530.964220349657,122612.67009836464,169154.41842259455,481106.95782035985,314768.4954632279,350822.2534085666,33082.016394302,127.75625241808882,173316.83767630014,0.0,96324.59094192373,235899.3692709349,10597.707004296148,75227.10892646233,0.0,False
2-Butyl-3-(4-β-diethylaminoethoxybenzoyl)benzofuran,Good,2.0469333333333335,842,931,,Tolycaine,836,965,0,5,2,7,6,0.0,15278.579525734825,1701.0638178625268,43423.76300996131,51446.986895397626,69646.21442679921,46198.91180004234,49286.1276701207,50397.08020900285,0.0,63051.825645773606,0.0,43616.468046805785,49556.73252540673,32130.820746507965,32724.472871485752,9.986547496961798,False
Acetic acid ethenyl ester,Good,2.0469333333333335,820,948,,Tolycaine,806,950,0,211,116,7,1,95.92019720887583,14877.31637776622,1160.6736192523404,43244.62902815032,51225.593409711044,68571.97306068827,45746.63067683215,48499.69233664384,50359.416306564584,108.15023204233506,62544.090906087775,126.77918616928446,43502.56903079086,49199.00781333511,32047.20111250909,32487.688704958546,0.0,False
Tolycaine,Good,2.0541,873,963,2- 2.09 | 2.02 - 2.09,Tolycaine,873,963,0,8,3,7,3,0.0,13043.501348109117,1244.0012197379383,39035.065691384785,45045.72921945313,39780.26875971321,32313.503107954333,31559.169328402113,47720.45728613586,0.0,49094.79645190409,0.0,41373.020235918186,41795.864909986565,30820.588222409642,28414.517832297945,0.0,False
"Heptane, 2,2-dimethyl-",Good,2.0612833333333334,873,905,Más componentes,"Pentane, 3-methyl-",870,872,0,6,2,7,7,4043.9132668306256,24692.277716423414,1298.5717984055555,41985.403821530635,58185.99328299049,202337.4456453431,120909.59783016102,141363.65646791479,23986.816088608004,1754.8357459628694,126148.75635079847,4120.975943545012,25574.521392761966,73629.612529588,15345.56697024077,35359.261191351805,547.6115155884041,False
n-Hexane,Excellent,2.0612833333333334,949,972,2.025-2.10,n-Hexane,949,960,0,7,3,7,2,1092.0892836979576,27813.018796833952,1328.8965714967258,44474.181367933175,60540.26531112393,208883.7093337695,124351.99972663191,147125.9627365021,20702.860275670406,867.1118852121413,126181.82064127851,2179.855638626268,27991.03427052722,77716.40009588325,10175.949310018443,38619.768708702475,357.3383488178581,False
"Pentane, 3-methyl-",Good,2.0612833333333334,890,892,,"Pentane, 3-methyl-",885,889,0,215,116,7,7,0.0,24528.77368659949,804.4204140389761,42669.707358118554,59008.56243263359,201784.83821233994,121427.77570092432,141849.82903221672,23436.278063050948,0.0,126787.86676801753,0.0,25924.62330174582,74223.63598475124,11912.159480523194,35769.9380482774,350.68880400901435,False
"Propanal, 2-methyl-",Good,2.0792166666666665,863,900,2.02 - 2.09,"Propanal, 2-methyl-",863,900,552,9,3,7,5,73267.19276049318,15965.725328327784,3986.4969913759937,46042.1569242962,43902.86185278434,53533.59704673405,17838.177524152303,32298.75202266477,28813.42076113254,68150.30149860104,40986.88637556321,77528.57650425672,50665.9115565582,45532.36922886319,19589.637342293652,36781.60740665462,0.0,False
"Propane, 2-methoxy-2-methyl-",Good,2.0864,825,839,,"Propane, 2-methoxy-2-methyl-",820,833,0,3,2,7,1,36500.49560752852,1068.3925688360569,3267.288486361396,5984.138201432016,8228.864028109096,13688.406284769851,14908.306047086673,10456.734115897421,4776.144683654432,35690.659415674214,9137.263059685949,159223.13295010536,5671.501435264271,8161.575824952793,3193.765560117178,3373.275182887527,1239.9234711234574,False
2-Butanone,Good,2.0864,806,819,,"1,3-Dioxolane, 2-ethyl-",800,815,598,4,2,7,3,73236.09625798547,24846.495018421556,4812.948812242398,78141.19045956372,86747.56289395748,86717.21544490519,55417.504882691275,58459.249071936545,98412.27101862367,68033.60676566874,113945.29091321789,77427.9614610703,70228.93425644259,70494.92071898073,59529.23870906192,53003.402591317536,0.0,False
"Propane, 2-methoxy-2-methyl-",Good,2.0864,886,971,,2-Butanone,873,905,0,212,116,7,2,35782.683262249324,621.3030155813371,2486.003067004094,3012.4449840254165,4513.535970422718,9369.83150023287,10766.00879681984,7432.61980545372,1230.029675563681,35260.4277784524,5117.607489177692,158530.32899286776,2956.2144568363074,5260.336902405983,922.6420625353094,1563.1724440272374,1015.2019992971719,False
2-Butanone,Good,2.0864,877,908,"2.0 - 2,1 | 2.04 - 2.14",2-Butanone,877,908,0,214,116,7,5,73591.15145369765,24940.964244175626,4442.619011173439,78600.81012353065,87258.67153108271,87233.88850631878,55895.211008137056,58858.522088505604,98996.7903432141,68656.97057725277,114801.23102088922,77797.65709698368,70605.65418965474,70942.9908364911,59761.24828012813,53363.55779349305,0.0,False
"(E)-4-Chloro-3-methyl-1,3-hexadiene",Poor/No match,2.0899833333333335,575,673,,"Cyclohexene, 1-chloro-6-methyl-",561,599,0,213,116,7,3,4892.971538008545,0.0,4682.429333986142,5127.8615139002795,6534.852852932766,4929.651712049238,9683.30904742383,4012.4119481366342,5473.831378223159,9447.057017335499,3856.5700005581757,5501.848215965759,5510.302015341986,5089.974176803771,4180.88312430061,5704.984733216405,10028.137118852817,False
"2-Butenal, (Z)-",Fair,2.2478833333333332,786,954,,"2-Butenal, (E)-",771,915,0,287,149,7,6,1667.4825051257938,666.2894873985201,67584.70678152324,1496.8445544123497,2217.1672987885036,3813.1824725297097,2892.704383129818,2650.3740847505915,1331.2347081395253,2293.8046230946843,2549.4012718385206,3870.521751505391,1390.3935985745131,1740.0417500820977,1419.4490996156862,1653.1295252035652,0.0,False
Tolycaine,Fair,2.2514833333333333,702,875,2.22- 2.29 | 2.22 - 2.3,Tolycaine,702,875,0,283,149,7,1,50487.98768206593,432.7609409574993,0.0,1858.0442229740215,2230.323114737831,2289.478929884257,2841.444671672823,1875.4107966411716,2045.2232820581055,52505.84857192323,0.0,64889.616935077014,1412.963501125885,1005.0500418908352,1007.4720478710678,1087.7711113792507,596.1066236920534,False
n-Hexane,Good,2.2766,812,864,2.24 - 2.36,n-Hexane,795,841,0,217,117,5,3,47431.23519354092,214.5971437927701,23736.182731046323,1725.0649987127586,2877.9858426103165,5080.345497132368,3994.63450980024,3311.0312533332235,1343.2612971985977,49522.95927352812,1346.4648036988028,137381.1635180293,927.8814414596313,1289.9670458682176,1442.5814349567622,355.0824900171276,269.12851473626375,False
2-Butanone,Good,2.283783333333333,820,898,2.26 - 2.37,2-Butanone,820,898,598,218,117,5,4,131024.86135052108,0.0,981.3921242654651,2566.3928831257795,3348.842117926757,3965.214759864552,3077.3450649579045,1298.2998649714812,4662.875646711872,75522.96628785568,3077.6443218670206,94624.3175185218,2403.4357110317455,1711.3996739235783,2987.2228105690297,1306.073503714109,0.0,False
2-Butanone,Fair,2.283783333333333,790,954,,2-Butanone,774,852,0,284,149,7,3,136359.63189136557,937.8111928207022,0.0,4691.488202100643,6093.363573882766,6790.224888493642,5257.906322847988,3404.04444356142,7588.046405342584,79229.02674416726,8264.591496625224,101353.6253388602,4119.676474093601,3555.7405191990974,4969.073617370944,3097.6801224513574,83.68998372042549,False
"Butanal, 3-methyl-",Good,2.29095,808,809,,Cyclopropyl methyl carbinol,756,847,0,216,117,5,1,3194.4789598473726,0.0,231310.8946295748,356.5352289501791,520.2517257686932,2173.407411529348,133.80531129126598,627.8635230983891,375.2485985343601,2792.344242156403,3224.282137138027,9361.672203137161,906.6989198022652,1456.2984222030336,922.0369957242365,285.1411401471407,1312.6612676155,False
"Butanal, 3-methyl-",Good,2.29095,829,830,,"Butanal, 3-methyl-",802,803,0,285,149,7,4,4783.47808660577,373.39680619428555,205506.66671211875,1696.371006443729,1573.1734766672696,1992.9202651442647,0.0,2508.5850615892828,631.1405406700032,0.0,0.0,0.0,1691.2083569376318,2383.609415774462,834.6781383847765,1101.0261959929126,3133.225751478185,False
"2-Butanamine, N,N-dimethyl-",Poor/No match,2.3376,595,831,,4-[2-Dimethylaminopropyl]thiosemicarbazide,573,681,0,11,4,7,2,25926.623976139108,5300.752758347368,5742.247239477429,8367.802587728604,8674.446510920867,7751.045061304667,7030.578954299439,7942.059000673536,9043.890205407311,17312.172699431438,9070.47811585796,25974.86558720053,6766.223321280813,6516.721876496118,6123.883061009508,6568.005278437347,10668.139110482909,False
"Methylamine, N,N-dimethyl-",Good,2.3699,812,869,,"Methylamine, N,N-dimethyl-",805,861,0,220,118,3,3,24419.042280598922,0.0,129222.62924903107,1203.1817734492597,4066.4174752337567,7363.307273595379,3166.066265224328,3054.5812114053697,114154.59059070799,39069.20751750382,44885.27323334284,39502.534787097815,6775.211611235351,4818.803329536237,54679.717143728514,0.0,946.4741544255405,False
"Butanal, 2-methyl-",Excellent,2.384266666666667,936,945,,"Butanal, 2-methyl-",898,898,0,12,4,7,3,11892.188246439368,1610.6456250085694,315218.33908141125,1924.8811535891841,7294.793243539396,6686.830547697333,8408.053888235569,5125.265594951804,3272.724895383828,9071.329063200501,6334.796767962565,23307.41464275262,8745.538503150463,11067.770776914294,12962.03332622271,9680.18837053636,2235.4510558775028,False
"Butanal, 2-methyl-",Excellent,2.384266666666667,909,916,,"Butanal, 2-methyl-",881,883,0,219,118,3,1,9678.15088763483,516.8085685117458,327297.62685690995,1893.9476344042441,2430.1298555769354,4065.43199547346,3054.92524135006,4140.552879169769,2628.967072608386,7460.32812782142,4233.186726668573,17441.27787769554,692.1791442450012,1284.31516656842,1304.8678920540078,629.8802391815825,1235.8184521412431,False
"Butanal, 2-methyl-",Excellent,2.384266666666667,935,940,,"Butanal, 2-methyl-",908,909,0,223,119,6,5,11582.185912027402,583.1971645301819,335555.49345970567,1266.4666486299973,2861.553373967394,8383.795522459433,5542.0322484520375,5459.209072030497,5788.510950840015,10421.207666399017,7809.574956607598,28187.949948976766,9826.186765096958,13001.834601454859,7084.371984151385,11341.357212092404,659.7300116908591,False
"Butanal, 2-methyl-",Good,2.384266666666667,858,862,2.24- 2.3 | 2.25 - 2.3 | 2.234 - 2.42,"Butane, 2-nitro-",845,849,0,286,149,7,5,41189.842521173654,966.1265572780908,273745.636435759,1785.114644965805,2316.028947101613,5562.491930027427,4529.72072207155,5667.93148432325,641.1355370093925,41544.49084818652,3370.574376444092,122080.2337050522,914.8493015909398,2416.7009385858246,483.16689533811314,1386.8810560673671,404.8021507195681,False
"Propane, 2-methoxy-2-methyl-",Good,2.506266666666667,637,841,,"Guanidine, methyl-",637,798,560,10,4,7,1,1804.8669661262657,1574.8596753444479,3151.9678019697485,4873.92148438551,4860.921705383957,5939.988863255875,6528.6226276946,8608.6106216497,3980.809800825192,2585.637654397464,4633.482238554659,5748.0130144784525,4352.777366154836,5130.186250381621,1223.7143533805365,2600.5025651864717,60412.08382137623,False
"Guanidine, methyl-",Poor/No match,2.506266666666667,806,856,,"Propane, 2-methoxy-2-methyl-",806,856,0,224,119,6,6,37430.02108510205,4531.984390576956,3854.4582555764555,8578.999537326677,8987.378772008855,8780.922360324314,9655.504954391226,10767.584823771092,6676.828047911948,22819.94518026304,8853.042995744945,34050.17503062358,6833.574307179419,7398.696368972687,4635.881115073047,6044.116893619449,40123.23253189686,False
"Furan, 2,3-dihydro-",Excellent,2.552916666666667,922,953,,"Furan, 2,3-dihydro-",912,970,0,14,4,7,6,1204.085614925281,24013.937182452177,16690.091073079573,4616.6424395767735,73235.86177259641,136033.62187181282,95525.70304587485,68745.32019025895,1037.8938648027774,1699.7774074393324,1379.2116031757887,3790.6617620758257,143417.97220583013,180558.04859297886,60166.66474648041,106735.78624262295,837.282555682924,False
"2-Butenal, (E)-",Excellent,2.552916666666667,927,976,,"2-Butenal, (E)-",923,942,0,221,119,6,1,1692.9817161885778,20821.728270070693,23539.78084064002,1678.454064507368,70248.22923616615,130958.73383569346,92363.45026860465,30582.75764339281,1314.5900263015255,2150.9263063085236,1800.5626154883096,4236.442748654089,140958.25869051262,177647.0387160679,58620.501261322235,104739.87195686104,860.425891903413,False
"2-Butenal, (E)-",Excellent,2.552916666666667,939,948,,"Furan, 2,3-dihydro-",938,974,0,226,120,7,2,4979.258329315842,24702.25669611849,628.7501578776711,166950.17547503675,73237.8811860586,138317.0886437236,94680.85380826447,71293.62222292455,81666.98664899041,4726.933784454401,11060.798659406588,701.1996488260529,134276.91452720482,147574.65191533836,58665.85976939533,69810.89440917174,791.2090914188702,False
"Butanal, 3-methyl-",Good,2.6139333333333337,895,896,,Cyclopropyl methyl carbinol,802,843,0,13,4,7,5,3947.366598357694,16690.7468562328,29977.19073453026,2431.3418150738985,182820.94752245233,134905.64080232845,245449.65605523446,5325.3221766220595,3735.173000087889,3687.043909485161,3647.787516308559,3006.456716745044,262256.51325498504,379290.2331674432,364593.1366253389,235416.7229600582,1347.9819278853295,False
"Butanal, 3-methyl-",Good,2.6139333333333337,880,881,2.55 - 2.665,"Butanal, 2-methyl-",794,815,0,222,119,6,2,4974.83182215511,559.6252917763384,34146.29350026122,2307.48785575029,7290.682171002059,7607.869406129662,148996.4970067734,3615.211019239457,3651.562595541011,3599.6258292658467,3499.696133393011,3090.6396782122383,261087.49795132104,377630.7420027806,151307.8697199503,234437.0044698329,287.713652443661,False
"Butanal, 3-methyl-",Good,2.6139333333333337,891,891,2.57 -2.66,Cyclopropyl methyl carbinol,815,855,0,229,121,7,3,995.2153172187276,0.0,15125.411918867947,773.9708352096058,11803.146533150615,12715.230379641249,187664.12693060833,2778.238524195616,1383.2241830993482,883.1099479157781,1826.8615642926568,3469.643828711817,266885.8634081682,383931.64751289395,193377.71593426092,241378.7716541555,0.0,False
"Propane, 1,3-dimethoxy-",Poor/No match,2.6211166666666665,810,840,,"2-Butanone, 3-methyl-",758,854,0,228,120,7,6,5161.336182079217,869.6644425406348,13416.788579869513,2811.566234111715,2040.1762461400176,1520.1968732343307,2684.5336138636267,2330.12590307391,3690.5944600903904,4667.752235825175,3940.029175029149,6914.473885505969,2229.912730041409,2099.7834872605117,1184.6110801116888,2707.352564078091,10402.402809576344,False
"2-Butanone, 3-methyl-",Good,2.6211166666666665,512,729,2.59 - 2.68,"1-Propanol, 2-(dimethylamino)-2-methyl-",504,652,0,230,121,7,7,1000.7449325191153,75.2021981467546,17714.5797769773,509.9933528525182,505.4536207123283,337.75098516233084,1662.0522770998068,555.1530537350966,753.9371596099957,953.8319960795671,762.5324426777117,1275.781681338192,2769.993818248651,2203.4190347437398,324.18412675602667,2054.0574890523785,353.40120339256885,False
"Butanal, 3-methyl-",Good,2.6534,871,871,,Cyclopropyl methyl carbinol,797,866,0,227,120,7,4,1051.3563597730144,33414.41773287528,21546.155504332048,16469.58622872056,232339.94623852486,349664.2722208027,230399.45096539299,294556.06882145436,4106.548399757699,1359.0794821787783,1582.5145843452879,1617.9085464602379,244646.96770984776,353954.58211382927,347692.35501363623,219946.27337123017,418.69472069066353,False
"Butanal, 2-methyl-",Fair,2.7287666666666666,786,796,,"Butane, 2-nitro-",780,847,0,225,120,7,1,2349.9192528597687,7881.949880440764,15476.528234176512,3597.573032346205,48907.00939829201,70634.07287295401,46040.43842533752,59514.20397735377,5440.552696227391,2133.274844815475,3372.1752464427104,6448.238109040836,58710.41835155261,84978.2162760585,67840.82243824491,53980.64630756952,15663.098972041991,False
"Butanal, 3-methyl-",Excellent,2.7574833333333335,777,779,2.72- 2.86 | 2.8 - 2.86,"3-Buten-2-ol, 3-methyl-",738,744,0,15,5,8,2,363202.8935684655,0.0,7612.245941662827,352016.8472595344,15246.008644527294,51946.15792106444,10606.818562365454,143411.53620209915,456856.361314128,343313.3812803342,228648.32666184017,355316.31995541364,9451.75191585863,10634.178442019023,16597.38197474023,5729.756275148234,0.0,False
"Butanal, 2-methyl-",Excellent,2.7574833333333335,904,906,2.69 - 2.86 | 2.74 - 2.88,Cyclopropyl methyl carbinol,830,873,0,16,5,8,4,8589.817269493298,56181.99566799664,24915.999622527095,9855.984272639673,349482.89355865226,510221.405798014,307782.9913597488,451499.942119481,16060.913553339964,13029.190166636337,7369.219350574432,11048.802758984593,410351.5554041546,558765.8816444059,469834.9105408134,299912.86484009924,4745.504482441392,False
"Butanal, 2-methyl-",Excellent,2.7574833333333335,918,924,,"Butanal, 2-methyl-",901,901,0,231,122,8,4,8789.043463026872,53938.51091948994,20363.276515831825,9046.488152150472,335518.5907552937,36963.61201248819,297395.4922493668,28509.5054571402,15154.698164698202,13103.706302460167,6970.935079021787,1480.2447944680193,397069.1495377739,537725.4880667673,445576.1008319614,283656.6171220558,3415.603825509872,False
"Butanal, 2-methyl-",Good,2.7574833333333335,903,903,,"Butanal, 2-methyl-",883,885,0,288,151,3,1,166856.3731480114,55115.213964676834,76834.4888058288,155801.89665971856,369635.86791108875,93453.28085613517,330799.9759434503,110980.7981580302,212034.59820521472,161846.33062477296,105533.64845489629,4936.68376493483,443773.1333577502,590757.297680041,476699.36895884876,300027.373250927,7515.15678827678,False
"Butanal, 3-methyl-",Fair,2.7574833333333335,898,898,,Cyclopropyl methyl carbinol,812,853,0,289,151,3,2,258120.55993696628,0.0,0.0,265353.4422294171,73783.65107665269,70505.41204745055,78691.36965202515,155913.59624011524,342960.99358872254,245583.88963827983,166337.08836063446,6537.657088413309,99798.86244657682,98329.60426761612,29608.097947772607,7447.546214704696,0.0,False
"Butanal, 3-methyl-",Good,2.7574833333333335,896,898,,"Butanal, 2-methyl-",887,887,0,290,151,6,1,358986.5115190665,5121.617299172911,6704.1171042403985,351067.1268046534,36285.86849211971,50387.61093341531,29127.19068534393,135786.5872434508,453373.33745616284,338336.5372363123,226111.1939419363,1203.1236090426232,38463.052009614184,52329.69900854328,54491.67730431224,36090.21638197161,0.0,False
"Butanal, 2-methyl-",Good,2.7574833333333335,858,862,,"Butanal, 2-methyl-",846,852,0,291,151,6,6,14457.464787356905,52074.681702016154,18386.476904249546,13611.50309078215,321526.60466046794,74792.01651722955,286201.1494122672,55450.31825166676,21343.68754281709,17968.861708777375,9998.605893541127,1861.276340168246,381476.3602534095,516024.8422143941,426644.9101100146,270267.05686949217,4775.236860618865,False
"2,3-Pentanedione",Fair,2.7718333333333334,737,900,,"2,3-Pentanedione",732,759,0,17,5,8,5,1802.2426293798362,1892.2969606073984,69760.80681680767,0.0,0.0,1286.9417983664885,1478.877372727198,0.0,0.0,1218.8021130466234,843.6877690127669,1391.8314161836995,0.0,1267.5706281509229,957.3342595310269,1522.874832734953,3549.5131406906294,False
"Butanal, 2-methyl-",Excellent,2.82925,905,908,,"Butanal, 2-methyl-",864,864,0,233,123,7,5,136619.09684572832,33376.227807486335,28955.393121713576,119469.7189423921,97062.4863012177,497279.71938000026,48069.13537698948,442994.72286734654,172726.14094852397,105196.04319348678,60434.200254355565,135938.921829479,67864.39244288925,81615.03762965086,90536.01094050569,63414.51232967096,2218.968311292792,False
