Compound Name,Match Quality,Est. Retention Time (min),Hit 1: Match Factor,Hit 1: Reverse Match Factor,Comments,Hit 2: Compound,Hit 2: Match Factor,Hit 2: Reverse Match Factor,Retention Indices,Compound ID,Interval ID,Model Order,Component #,Exp_1.CDF,Exp_10.CDF,Exp_11.CDF,Exp_12.CDF,Exp_13.CDF,Exp_14.CDF,Exp_15.CDF,Exp_16.CDF,Exp_17.CDF,Exp_2.CDF,Exp_3.CDF,Exp_4.CDF,Exp_5.CDF,Exp_6.CDF,Exp_7.CDF,Exp_8.CDF,Exp_9.CDF,is_contamination
"Butanal, 3-methyl-",Good,2.8328333333333333,858,860,,"Butanal, 3-methyl-",858,860,0,232,123,7,1,101302.48174566122,1863.8142598707211,4436.590099811882,44414.11234522613,8828.287797431525,41953.793226427944,4839.212278334422,40290.70544970507,63721.11434900111,101757.36436625198,40423.819989171825,281925.57823878265,5353.5727905388185,8148.721644593717,11364.41414899353,5075.450620688007,0.0,False
"Butanal, 2-methyl-",Excellent,2.8830833333333334,935,942,2.85 - 3 | 2.88 - 3.04,"Butanal, 2-methyl-",888,888,0,18,6,8,4,427477.9291485821,3483.456159897868,25616.21587523413,380681.5954093554,24682.7960156961,181260.1872277558,23055.021861635916,126056.28820699044,506474.03821108816,385414.2987082185,267273.0788734225,445309.96437435213,18964.349791343087,25216.235430749744,28776.616817297083,15444.49130711765,1677.156441770258,False
"Butanal, 2-methyl-",Good,2.8830833333333334,874,874,2.84 - 2.98 | 2.89 - 3,"Butanal, 2-methyl-",872,878,0,234,124,7,1,404920.2765428706,3504.645803361884,22355.90535446708,361461.10562836885,22297.50102069837,131018.76389409039,21535.07326124681,89432.08986514615,480248.47641537053,365021.8229732842,253291.4614190066,420837.32848662965,18520.945893096956,23326.54929798401,26808.80945757995,14581.982277505913,1600.8994573462537,False
2-Pentanone,Fair,3.109166666666667,781,854,3.05 - 3.3,2-Pentanone,777,830,0,19,6,8,8,3267.6720306211355,10183.066602131606,446.92914480143736,2813.3796826359176,19768.769328561102,2750.630759199099,13022.529341411908,14605.353452114952,3695.6623267722607,2657.504373550022,2008.7505566225373,8426.926723602344,19154.345263648855,18144.201522493116,14045.612280791207,15604.202862086477,124.96765195213152,False
2-Pentanone,Excellent,3.1773499999999997,913,940,,2-Pentanone,894,909,0,20,7,8,4,28935.292449444187,588.2928530876491,0.0,27058.842025826405,5179.348061019258,26694.15761050538,3319.1482382702206,4670.196392696675,37273.61441699368,22227.246464382508,32593.889829120588,26364.859100561425,4459.717252168117,3734.6462432092962,7402.078773709037,8007.480181474561,0.0,False
2-Pentanone,Fair,3.1773499999999997,772,840,,2-Pentanone,744,844,0,25,9,6,4,36637.071397109496,2940.662171171823,2598.677794393798,31975.55103489643,11767.673915268508,34807.89285919311,7869.37660220078,8424.554965459583,44554.36145835432,29715.337255489387,37738.16889077294,33685.5403872654,7947.730425169531,8735.345147310756,9842.511934618587,10135.000880844578,12193.016356872944,False
2-Pentanone,Good,3.1773499999999997,861,902,3.14 - 3.25,2-Pentanone,861,887,0,235,125,4,2,25866.375415754403,0.0,0.0,26812.795862710387,1503.1597550230326,27609.153072010246,1014.7451168738908,1340.61523531497,36015.14873591931,19024.631757860705,30958.718656120778,24091.401469800665,858.4890047344015,690.0727613002764,1621.9669511963639,2114.928970067902,21.95092257492592,False
2-Pentanone,Fair,3.1773499999999997,796,842,3.05-3.5 | 3.1 - 3.5 | 3.2 | 3.5,2-Pentanone,791,868,0,250,132,7,3,34211.36556574825,10632.134938047193,1361.955243910596,31683.811032005913,22251.12933399914,33708.69823536309,16825.44963737232,18004.40041610332,42487.786051354844,27142.509223158464,36966.35223406509,32978.14231395432,22205.976474764404,21731.78197959408,18245.379209527568,18478.655039367426,10014.200781960579,False
"2,3-Pentanedione",Good,3.2563,852,895,3.2 - 3.4 | 3.3 - 3.5 ,"2,3-Pentanedione",842,860,0,24,9,6,2,63339.62480603291,21366.549038552395,7575.250775787453,105292.19961128078,77291.29899350108,78781.5057610338,58062.89844437829,48008.56109462752,93584.45482833154,77823.54822687746,93303.25024560685,86335.18636787422,168069.08162425456,92734.50157214445,43101.833852690244,46392.09839213575,20305.45088796763,False
"2,3-Pentanedione",Good,3.2563,888,919,,"2,3-Pentanedione",861,864,0,236,126,3,3,18564.89201802858,16058.472508296574,1122.476082272664,12580.101948450512,72385.2832993436,9272.934524420456,53830.88262186523,43818.09319992073,11957.798156541769,3903.801417751689,6192.339802309989,21968.763594422708,163966.98922923778,87451.776402602,39443.08472777378,43073.9464321764,1182.268314539051,False
"2,3-Pentanedione",Good,3.2563,821,945,,"2,3-Pentanedione",812,817,0,238,126,6,5,18094.515173549036,18109.05094901582,1245.1690860848014,12906.083799910151,68943.25559295,9054.374196800873,54781.54783411355,42207.00755966875,11781.030064315075,2415.5525291554372,6094.00331521493,21371.47294953756,168687.01085598156,87748.9540609049,38281.72173101085,41023.28283874354,371.53985737685116,False
"2,3-Pentanedione",Good,3.2563,820,947,3.22 - 3.32,"2,3-Pentanedione",783,789,0,247,130,5,4,27811.761440615624,17795.903805058075,1896.7336585288067,39551.91887495156,71143.73398042249,24393.256953408258,56134.507148348705,45177.89520534499,33943.72186389966,7169.726436018316,18255.90122411513,38986.97339293752,171745.2758111704,90760.62846138742,40614.3997450788,43405.69538584411,249.3178785380003,False
"2,3-Pentanedione",Good,3.2563,857,896,3.2-3.35 | 3.35 - 3.6,"2,3-Pentanedione",848,863,0,252,132,7,7,59826.36191329709,20580.402596396336,8259.941887351117,104331.05552896135,73848.03801925755,77823.18122721759,57470.69525544074,46669.48008488142,91594.14894302512,74938.87771436098,91792.07244216147,85745.00533424626,167689.34335283272,91736.95073577078,42394.9838991266,44493.47860689343,16441.343113162417,False
"2-Propanethiol, 2-methyl-",Poor/No match,3.2886,750,827,,"2-Propanethiol, 2-methyl-",739,821,0,237,126,6,1,411.2960923937859,526.9176064942358,0.0,23.25123188693442,20680.416215486537,0.0,2180.94048855369,2929.01161487784,420.4946754398652,284.17114574548145,72.30912731649393,108.98314778302165,1112.7282894753462,5734.50852227788,2081.1216693905976,5406.796833840292,0.0,False
"2-Propanethiol, 2-methyl-",Fair,3.2886,678,813,,"2-Propanethiol, 2-methyl-",668,793,0,246,130,5,2,665.3890536299023,529.5892095865102,0.0,224.76327212081378,26268.554128015592,139.96832233804753,3285.810301656664,4470.83878190659,578.3702171930072,762.5172453242021,315.0222626810994,610.1558144946716,2100.13022500895,7763.635018094563,3525.729339334368,7617.922066611991,0.0,False
"Ethanol, 2-nitro-, propionate (ester)",Fair,3.2957666666666667,716,824,,Propanoic acid,708,819,0,21,8,6,1,0.0,2182.2882137254164,0.0,51069.982106126954,38670.72276920794,4068.5995586866848,6975.6757640651485,9912.029763927203,35284.99439713183,13160.152576585628,13725.762081736837,11763.919281830902,3754.0851290701976,18467.461448359943,8424.932786357269,17317.328465761013,0.0,False
"2,3-Pentanedione",Fair,3.36755,786,792,,"2,3-Pentanedione",749,903,0,23,8,6,6,58461.54236795532,7267.507979874092,3483.1765519104665,110488.3578874777,10060.505174661434,82110.61177864551,15195.820788667043,12031.895924060955,93878.53336862233,75870.70521699838,95043.54858668071,84576.16259969448,38465.13956172226,21125.94139119488,10657.246925790532,12909.53766165796,9352.043518163584,False
"2,3-Pentanedione",Fair,3.36755,766,915,,"2,3-Pentanedione",763,767,0,240,127,8,6,43849.59702806008,3355.4173307086567,0.0,97429.99214951582,6451.939041881928,70999.46325485228,9509.217077569749,5791.113912796957,82360.72764603046,61684.35433408152,80927.6664963693,68153.17980615102,24314.76809094967,12326.967266884176,5655.402680167464,6536.510988336549,1061.1285439090625,False
"2,3-Pentanedione",Fair,3.36755,782,789,,"2,3-Pentanedione",775,916,0,242,129,5,4,46447.34026400016,3118.0014019129203,1505.7892869125244,105946.87726654828,6041.259245990135,76446.11238375971,7016.128898074116,4926.418171982834,89061.0366909776,66265.1370681388,86033.77575246879,73516.59836985247,19459.745535365164,9701.658932090271,3994.503058287697,5986.936728902918,0.0,False
"2,3-Pentanedione",Good,3.36755,831,894,,"2,3-Pentanedione",827,831,0,244,129,8,5,36261.668805222485,2473.992594555142,988.0671990423798,87500.31471539705,5907.0344998855835,62636.96190286326,5693.687346948996,3624.606805341711,73865.0633410642,53269.4613120318,70702.45558766712,58862.71095941519,15657.87207128588,8067.943859819663,3146.2113610880842,5093.291542748724,0.0,False
"Acetoacetic acid, 1,3-dithio-, S-tert-butyl ester",Poor/No match,3.4070166666666664,636,646,,"2-Propanethiol, 2-methyl-",633,756,0,239,127,8,2,2168.6636819966657,441.99872697781166,0.0,14459.07726736857,6261.479194711566,808.930762127237,856.8968364390955,2050.026134984652,9808.493018283032,3355.723837359891,3281.919189819435,2835.0302328394073,357.52356166087867,4205.332364377984,1164.8771694849381,4346.810921200465,0.0,False
"Ethanol, 2-nitro-, propionate (ester)",Poor/No match,3.4070166666666664,697,847,,Propanoic acid,693,845,0,243,129,5,5,7800.02709663671,818.1657762327668,0.0,36100.336653479695,10316.090990304656,1835.2202698665787,1505.060615420196,2303.7411860678694,24141.383679193692,9028.23154652756,7704.75879106576,9714.468921281485,0.0,3840.559893730562,1246.729359633864,5151.416750045493,0.0,False
"Carbamimidothioic acid, methyl ester",Poor/No match,3.4070166666666664,674,787,3.37 - 3.45,"Thiourea, methyl-",586,663,0,245,129,8,6,760.9064881456636,244.77566530384365,0.0,12518.750439344523,3556.0138552383405,669.6852955579675,514.7244573155822,750.9626055471672,8350.984203245422,2130.062624307904,2338.7099688756716,1509.6354996595765,0.0,1300.6891375299565,386.48499971680394,1612.6071582629174,0.0,False
"Butanal, 2-methyl-",Fair,3.4142,794,853,Baja magnitud,Pentanal,778,868,0,22,8,6,3,27392.688934771213,7883.382080047639,6049.563927746982,15315.373608577342,9253.488791449112,20699.99912292188,9635.930138478245,13606.66518116137,20646.45179464446,23127.855452273492,21252.144710271066,26854.76222420548,9271.268783749983,15372.661618790473,12409.685135110063,12033.946515340984,25382.28063703951,False
"Disulfide, dimethyl",Excellent,3.6115666666666666,917,941,,"Disulfide, dimethyl",917,941,746,27,9,6,6,289.40176227326106,322.2771318580276,240673.35374121903,585.712064732312,556.1119983242766,625.3381525886684,61130.083589664886,326.37754553381774,545.0174152126672,208.1531817642276,336.8247616271524,443.97508565450926,541.9985744152193,559.8585481073023,837.6551967043983,510.16668795550254,197.77119879374504,False
"Disulfide, dimethyl",Excellent,3.6115666666666666,925,944,3.57 - 3.71,"Disulfide, dimethyl",921,940,0,248,131,6,2,63.633377013480185,36.22297881862854,237026.0589065818,110.65612534709692,53.613816178622436,135.80433467610544,35.723666827523125,17.222270286666088,243.40762810214,10.657990082307915,12.069317827943811,149.9233469335262,38.72004954482239,29.950034530954955,150.2151148654441,53.73432109884776,41.13059915201769,False
"Disulfide, dimethyl",Excellent,3.6115666666666666,909,932,,"Disulfide, dimethyl",901,929,0,249,132,7,1,264.5752663434696,297.8744215947901,240657.42564010932,683.6922371538834,379.4136448560947,803.5992792278224,365.7771387293978,392.12675869084126,592.7006165067237,207.70917346757918,399.14421720895075,501.87945158633886,408.197771677097,379.68416118366815,866.6123268096131,583.5321287405858,1036.328559595442,False
"Disulfide, dimethyl",Excellent,4.2324,962,968,4.18 - 4.29,"Disulfide, dimethyl",952,961,0,30,12,7,4,61.08060160399439,35786.82305913897,108.27761099347163,36.498885069740936,594777.7667896302,33.40346367776601,180358.74530433046,256321.17582292447,168.65731504935957,37.22314100330293,196.2256029557722,49.02976929245077,183661.4104671573,212448.07417530575,170079.33175480593,135983.00699525088,206.98278599000503,False
"Disulfide, dimethyl",Excellent,4.2324,943,954,3.5 - 3.8 | 4.1 - 4.5 | 4.1 - 4.5 | 4.3 - 4.7,"Disulfide, dimethyl",942,957,0,253,133,6,1,316456.4250646132,38650.55660061931,240617.0575213485,587927.2646341049,635474.2244866804,352742.93695939175,289729.7126836275,275777.4899373258,634799.0229016476,329645.7199613323,269541.9087072258,510186.8130189951,193555.40017881177,222416.29953941487,190082.6935521947,147895.2821917112,215.95183146141932,False
"Disulfide, dimethyl",Excellent,4.3759500000000005,959,966,,"Disulfide, dimethyl",959,966,746,28,10,7,2,329950.25823972304,4824.5404553309545,2228.350991749464,590344.1202494615,95860.05846439883,355061.4035335632,28633.283559289423,42399.55427293862,639308.5986502165,336906.83855866146,273381.6018774863,520946.6325312189,23200.12932067378,29860.204583033395,25891.74813318042,22252.141245010804,0.0,False
"Disulfide, dimethyl",Excellent,4.3759500000000005,933,943,4.33 - 4.44,"Disulfide, dimethyl",932,946,0,241,128,2,1,296274.9094874209,3551.900056472289,84.00689257142835,582799.3610345647,75751.88895417788,346981.88319673634,21265.964101994814,33258.3634807622,623508.941540166,311168.2428570305,261264.36709426477,488421.77847620373,18804.5200942066,23333.349915890616,20856.32660324869,17559.299891616076,186.40236237308633,False
Toluene,Good,4.734816666666666,848,877,4.67 - 4. 78,"Cyclobutene, 2-propenylidene-",835,889,0,29,10,7,3,276.5815434830547,15761.504770131458,0.0,481.09737461269424,0.0,365.818133988064,62908.75380505234,0.0,327.5672956214901,189.70261962780188,274.51436959070475,330.4808160467255,11961.399704145615,40415.26637538898,481.64048423194265,36515.49303544606,124.27396772052893,False
"1-Penten-3-one, 2-methyl-",Good,4.831716666666667,850,948,"Pico poco orden de magnitud, buen match aun asi. 4.91 - 5.00 otro pico","1-Propanone, 1-cyclopropyl-",822,863,0,257,134,7,6,535.6486661856635,5904.159163846121,405.5483690858438,1098.5453641343634,17040.028640545028,27795.162382610317,21083.906086987365,13029.50017110328,1573.806094269362,0.0,0.0,485.5383622116042,42255.47508986315,17099.379671566094,2722.319714047147,16168.969307679508,0.0,False
"2-Pentenal, 2-methyl-",Poor/No match,4.831716666666667,633,785,4.75 - 4.95 | 4.85 - 5.1 | 5 - 5.3 | 5.1 - 5.4 | 4.8 - 5.0,"1,3-Cyclohexanediol, cis-",631,637,0,260,136,7,4,18177.43795596206,7904.912406717403,0.0,34166.71291544093,25543.723312973263,38273.96546592044,27420.00931114645,19490.556554219635,29807.398225153705,17506.69085368496,25768.416975715576,19915.157449409096,54224.07404574812,23678.01780626435,36854.213349161735,21421.044481645946,457.8426804892455,False
Toluene,Excellent,4.842483333333333,905,914,,Toluene,900,917,0,256,134,7,3,38.86936237583831,4057.793137000741,0.0,21540.98642628825,26704.18274817769,134615.84976807877,12915.466260733087,73752.12824602278,10953.099694862416,8712.97786364579,19026.95748101668,23295.20611256467,1381.7919479107288,4888.0810223210165,11497.445888300035,8566.433994871037,0.0,False
Toluene,Good,4.842483333333333,889,907,4.7 - 5 | 4.8 - 5 | 4.9 5.1,Toluene,880,907,0,261,136,7,7,8396.777549940281,16732.53401721121,0.0,24209.341900181105,28171.766792929786,136018.24933711355,65327.7191684705,76252.47761721241,15919.098238924595,12212.34865934371,23129.184711215592,31566.467007138337,13187.076677871635,41664.60481826982,14082.452567194461,38248.70415727296,573.6794033036008,False
Hexanal,Good,5.0578,811,879,"Ref 4,75- 4,9 / 4,9- 5,02 / 5,0- 5,16",Hexanal,782,804,0,31,13,8,1,5488.846816075856,2834.4667138848763,41388.46721712095,6339.57790839673,6229.942083830872,7551.158074576162,5258.843243459118,5473.815067496701,5694.738902941672,6393.188034925891,6728.2981998864425,6671.119650909531,5506.939964448332,4398.832954081539,3007.3981945271735,5682.409940042188,1034.454782668492,False
Hexanal,Fair,5.0578,782,790,,Hexanal,782,790,800,258,135,7,4,312.3206623940066,751.5992377756866,43174.48592356858,1431.00211353696,917.152786749959,704.2156264203431,564.3601883603483,658.5873743063182,1303.4980735528447,987.1298888326089,937.5210683229699,827.7866182527282,1034.4626108915718,1232.3806081635632,774.5190096406045,1208.8919756783293,61.79615467640407,False
"1-Penten-3-one, 2-methyl-",Poor/No match,5.064966666666667,646,928,,"1-Propanone, 1-cyclopropyl-",640,690,0,259,135,7,7,796.8929818634315,352.37698991790603,705.2617977380505,27071.375624848824,4543.690292648513,4897.559606146446,1611.442301426141,3423.044443150153,23466.214256036696,12123.076964483178,19429.073679495417,13954.092262505106,2443.886856153971,1271.7541131255784,28859.803752649525,1140.9159921756655,126.09467992118061,False
"Carbamic acid, (1-cyano-2-hydroxyethyl)-, 1,1-dimethylethyl ester, (.+-.)-",Poor/No match,5.73245,636,652,,"Butanamide, 3,3-dimethyl-",626,705,0,34,16,7,2,1421.553384197302,2469.390960084749,483.0173277535341,607.8135585580749,666.3989188111191,3325.6854733308755,2979.5123145622492,387.80809285515716,588.8985889412838,525.6252137086592,903.055098313409,824.3015779344191,15524.086820049357,5676.255342423945,694.7517317992913,2486.9802066852026,104.40809224549135,False
"2-Hexanone, 4-hydroxy-3-propyl-",Poor/No match,5.79705,614,648,,2-Hexanone,610,678,0,33,16,7,1,17873.242073906607,648.3849675783003,0.0,4670.495215042916,1770.4124937142496,1349.5863566342487,0.0,770.8971113959924,6034.463002757557,7418.2977549091065,10368.616688768128,7966.359289720867,2246.0830439781384,691.5605535811992,9563.320303233257,1259.1093793436967,501.6950139540942,False
Hexanal,Excellent,5.8437,913,938,Picos movidos,Hexanal,861,873,0,32,14,8,2,42826.93113736676,19510.424946655927,6914.128875613287,72437.42884793802,44031.1626752076,77536.89612934446,49344.63984292001,45738.47193525514,51175.61666733733,26420.2846089499,52433.82719404157,45985.86309930804,46422.68833869017,52249.15176385241,39353.459405214475,47660.3617910433,3200.430327838244,False
Hexanal,Good,5.8437,834,837,Alargar hasta 6,Hexanal,834,837,800,35,16,7,7,908.052579731233,20985.830738982222,770.10005712579,1359.2102049084133,2483.8415137626143,81193.00339288678,53231.05144172779,1882.9867118148686,1326.3184292883234,1489.3212663385711,1516.4337741367635,1707.2427489983675,48688.79488740505,56147.96709224643,1467.6060536635414,50082.90793078961,110.44016708252411,False
Hexanal,Good,6.05185,890,908,,Hexanal,849,858,0,292,152,8,5,308.27651029430626,0.0,757.9209423958291,68429.24548820387,1962.0904810363177,2943.89365651566,1039.429583318166,2663.647369447156,46366.68133722839,21391.090309739215,47467.21381101358,41316.50410526879,1218.9083382339559,699.349251652754,37398.05605754518,1426.2691298931754,0.0,False
Furfural,Poor/No match,6.6978,666,867,Alargar hasta 6.9,Furfural,647,801,0,36,17,7,5,1121.870361657201,21999.82161317193,11254.590995374412,326.836973285961,0.0,230.13400679173492,21276.26875003588,0.0,481.5839360296068,340.7419845121524,234.3894540710262,448.20177156439695,25180.513946963794,29316.731573012614,415.77653971309473,309.45121428859466,516.4146722373844,False
"Acetic acid, methoxy-",Fair,9.170366666666666,751,911,,2-Hydroxyethylphosphine,713,867,0,38,19,6,4,9190.684013255777,13137.628856593405,127972.72996081442,10779.079788162962,11679.97435148473,11568.914536389668,11247.758304568772,11749.637844586723,12885.474942423552,10068.88167482178,12299.964749658804,12817.93116568325,12689.373712789842,114158.33391509902,16102.252641461768,15755.613380835537,989.4746179125161,False
2-Heptanone,Poor/No match,9.33545,659,794,,2-Heptanone,654,782,0,39,21,5,3,10787.533444264198,32815.97617943489,11006.79564841055,35662.21639592762,19167.197240666992,29982.655096620405,19271.60284910121,19261.5315491122,25725.116305769203,9632.238884258453,19921.96065577156,12371.59882036909,26328.930092076167,4868.991771733632,16277.555511246239,32783.096640679185,125.01466961976531,False
Methional,Good,9.859399999999999,855,857,Alargar hasta 10,Methional,847,851,0,40,21,5,4,798.1347092298929,4468.455052469794,1225.9675615578963,2821.7117741836264,2994.6390081635964,5833.689758514233,3233.829842782964,3805.3815709637565,2771.919778237723,1671.8026178448126,1398.2189252156404,2266.455548558173,3000.2369351574316,362657.49139889266,4905.0967195920275,4660.942799332888,36.78077987171063,False
Heptanal,Good,9.866566666666667,847,869,,Heptanal,845,861,0,42,23,7,2,7924.564310799287,14330.502593353853,15946.91150106453,24906.097205464288,16976.039465492424,67764.44465131246,25325.213152484986,26755.946377297147,15334.947647243816,8735.26455574638,17272.384704482534,18023.599055587045,27640.49924580333,16333.665112125602,14898.704799087667,29120.170552326123,879.8946291375692,False
Heptanal,Good,9.866566666666667,868,888,???????,Heptanal,849,863,0,294,156,7,1,4862.692787353881,11571.200143176146,10319.445433841,23924.252617966347,14303.995413587048,67478.54976731705,22511.419724555497,25354.687211444052,13175.574129548804,5217.66497875738,14723.411893432956,14437.711422671087,24081.589365734777,9814.79576918951,12667.123605652732,22701.745047941164,490.55690771438094,False
Methional,Good,10.3331,893,898,,Methional,893,898,907,416,287,7,1,160.5031455120719,185241.18903878052,296049.5069380181,366844.7347912103,325265.0660240527,394820.15687239094,312814.9408722987,450833.66750761383,27045.406269430867,1055.0188924825743,983.179144684846,657.2174699398497,355510.32490905595,9017.194608925607,21291.649083715914,248476.0032661023,94.52027560174284,False
Methional,Good,10.451516666666667,855,859,Picos mal alineados,Methional,855,859,907,43,23,7,6,2780.804035845355,185675.8435810403,303041.382948553,373132.6224814856,336391.73176508315,400925.36476095737,316158.1456091586,455334.2144814035,358200.6788659953,132719.73193344334,121629.7886519118,182505.90387879254,356080.83991805866,417237.7383325728,397704.00002371636,257240.65319761034,227.99014680842294,False
Methional,Good,10.451516666666667,871,874,9.75-10.2 | 10.2 -10.51 | 10.16 - 10.55,Methional,871,874,907,296,156,7,6,2627.92434078696,184326.36585028438,300974.0072658166,370381.2863177979,333491.77110294456,397719.68724303413,314177.3179429716,452762.14459144435,349070.9747837262,124423.33961808104,115431.56876658316,172366.27045021823,354482.2772413331,416578.7688109182,388693.3998519379,255249.33049070503,0.0,False
Methional,Good,10.451516666666667,869,871,,Methional,859,862,0,297,157,6,5,0.0,7672.627878001904,76844.79654824096,86599.36114683737,103321.46987328902,86695.82853155276,55116.380813165124,82748.93083046726,355566.5639000362,129546.81375785237,119148.05631779371,178879.23950212015,21683.295088285588,0.0,395963.5593817592,79574.87662396603,68.53054899182519,False
Methional,Good,10.738616666666667,814,875,,Methional,814,875,907,46,24,6,4,115690.87809241621,0.0,1239.081202180775,2564.380497116619,3047.9067927641663,2286.8550233170504,1588.745754815498,2521.1082321753493,13277.280438171563,6464.35372981247,5285.513391386115,7939.963854840786,1192.1254861007728,1105.8256971694027,8296.237888410484,2181.464253258975,405.3905696296396,False
"Tricyclo[2.2.1.0(2,6)]heptane, 1,3,3-trimethyl-",Good,11.004166666666666,848,888,10.86 -11,α-Pinene,844,883,0,299,160,8,3,0.0,6968.165488299628,21935.861427390373,864.882037052413,636.6657357086706,940.3058468238316,830.1139913854975,1294.205402697942,1169.4908638150514,431.823540426767,1180.7714046572662,1982.1705013590436,39968.613339549804,28895.04191983542,1273.1365680979943,2023.4747298706984,267.74259406899154,False
Dimethyl sulfone,Good,11.126183333333334,809,911,,Methanesulfonylacetic acid,783,851,0,47,24,6,5,172.81552485071825,34048.979669655855,17114.9658391872,2021.8461416531936,14373.07471245408,17942.482645990545,12703.070267358467,15997.037813618357,15823.476069725402,7651.036792295632,9369.0867093989,6802.892796826055,24282.32664503492,26068.862021531226,22989.168084982448,1291.6269899364706,454.4559860329067,False
Dimethyl sulfone,Fair,11.126183333333334,781,923,11.2 - 11.45,Methanesulfonylacetic acid,764,898,0,264,137,6,6,8719.767974929548,34020.23181154176,16977.06090755901,17264.630591485067,17447.004565925825,18112.844889168075,23380.172433961678,16180.947803105366,15740.455638909494,7956.689939795203,9327.189869304239,7187.209281227019,24312.65595697877,25840.370229270942,23184.92841318046,22829.470666505375,468.8028236509599,False
trans-β-Ocimene,Good,11.140533333333334,874,925,Picos mal alineados,trans-β-Ocimene,866,925,0,41,22,7,2,1341.5391697063367,7092.9519822400125,25677.29076943282,24260.02481928944,29843.650744865234,30731.729938692613,25816.87792058236,43568.7834146339,24551.08191282122,25432.222608336302,30067.426292256998,34943.48520604231,43891.217488334936,28155.975825748872,15230.312744637726,29180.921598234607,262.87228607075986,False
"Bicyclo[3.1.1]hept-2-ene, 3,6,6-trimethyl-",Good,11.140533333333334,896,938,,"Bicyclo[3.1.1]hept-2-ene, 3,6,6-trimethyl-",890,924,0,44,24,6,1,1265.588247321447,6999.996610313487,25690.04966472736,24203.646647920516,29923.727269548333,30375.873391598303,25766.874448278446,43401.146939948114,24400.870961178094,25365.206972579923,29995.034337820565,34883.201371120784,43672.27261593132,27969.087162803546,15080.473580905018,29298.42665020001,216.46202602749815,False
"Bicyclo[3.1.1]hept-2-ene, 3,6,6-trimethyl-",Good,11.140533333333334,893,925,10. 8 - 11 | 10.95  - 11.2 | 11.05 - 11.3 | 11.35 - 11.6,"(1R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene",886,907,0,263,137,6,4,34234.78199914219,7337.360581678204,25909.04243982245,24480.370094991566,30214.578265408385,30709.457901854224,26054.30621124014,43548.890927281056,24549.682999880883,25406.170647358886,30051.091317518087,34898.010593747094,44006.56198622006,28416.747990715703,15296.612041883001,29727.101902372742,188.59937475282243,False
Dimethyl sulfone,Fair,11.420449999999999,747,920,,Dimethyl sulfone,699,839,0,48,25,8,3,1289.020253684945,142.96785961899735,124.43681461651886,865.296252213393,207.72509322980682,257.23084467282115,702.1427240762068,107.86010173386467,282.85746940094185,35.6443301015417,146.6844286284344,112.68530105696391,152.39864296006556,0.0,242.25125931259043,22806.18725081669,0.0,False
"Bicyclo[3.1.0]hex-2-ene, 4-methyl-1-(1-methylethyl)-",Good,11.441983333333333,867,925,,α-Pinene,867,912,0,49,25,8,4,34336.19964216797,78.93892035317731,52.868947450157066,222.21764749263343,372.22385919120035,279.26468478386596,478.39727510697753,164.85448716538826,221.85522902860677,225.65823413345097,173.39793082136862,559.6978727735499,139.82970495633117,103.93680989211458,390.36827860281005,163.42838475614008,113.01857056687149,False
Benzaldehyde,Excellent,12.834366666666666,962,971,12.75 - 13.,Benzaldehyde,944,952,0,322,198,2,2,10203.173324851085,328273.46577381616,594570.5174238995,660370.7233629847,464961.8252742898,522481.9809068545,569299.3534222199,608886.9057996795,457599.26818224986,155399.5439336251,2501.6014112390003,225900.22614971132,850258.868273357,706580.5101864557,473051.5660007564,596675.5192562961,176.7902026067472,False
Benzaldehyde,Excellent,12.9205,912,943,,Benzaldehyde,902,931,0,50,26,5,1,153475.2013011695,85951.62156341728,85184.06344973472,184799.6107652036,174439.1173551195,179741.58916131372,160526.57346529615,181637.68341923124,174549.23279050877,72701.06045328686,150106.06495326292,92121.50682834956,234432.93045993135,221249.2111013797,144268.4728824112,189836.20840411325,155.96259051239002,False
Dimethyl trisulfide,Excellent,13.024566666666667,909,929,,Dimethyl trisulfide,906,928,0,51,26,5,4,95790.48109208146,81769.34411764726,283842.1710785814,505208.4637660093,568553.5916472502,433291.3305695184,282661.34993582213,253434.83427636462,497495.93877212214,120762.44730812046,108797.57729855555,190663.59106244362,195201.04941918183,223762.86102646976,127587.1731969102,134247.90102360037,57.48304911258155,False
Dimethyl trisulfide,Excellent,13.024566666666667,924,938,,Dimethyl trisulfide,917,932,0,53,26,7,1,95892.09120568438,81748.21858094039,283709.1715664392,504872.0033860421,568119.9960203161,433168.01163500134,282428.3660978375,253346.50012128003,497308.67873524094,120836.55856522266,108846.74728955691,190640.057142092,195140.782159338,223562.73941546673,127554.87105302635,134089.83882929882,0.0,False
Dimethyl trisulfide,Excellent,13.024566666666667,921,939,"Ref ampliar 13,12",Dimethyl trisulfide,913,929,0,56,27,5,3,0.0,78029.81625573795,281460.8815869241,502441.5995519909,559664.9927155917,427153.32209785277,277476.2067888165,248170.92445105725,487144.8608094731,112180.84029414583,0.0,187200.62154775963,190900.65187206503,219548.04470628643,125630.20815467012,118393.31243764331,4.150733336125178,False
