compound_name,matched_biomarker,match_score,match_method,Hit 1: Match Factor
"Butanal, 2-methyl-","Butanal, 2-methyl-",1.0,exact,858
"Butanal, 2-methyl-","Butanal, 2-methyl-",1.0,exact,858
"Butanal, 3-methyl-",Butanal,0.0,derivative,858
"2,3-Pentanedione","2,3-pentanedione",1.0,exact,857
Methional,methional,1.0,exact,855
Benzeneacetaldehyde,Benzeneacetaldehyde,1.0,exact,855
Methional,methional,1.0,exact,855
1-Heptanol,1-Heptanol,1.0,exact,853
"2,3-Pentanedione","2,3-pentanedione",1.0,exact,852
"Benzeneacetaldehyde, α-ethylidene-",Benzeneacetaldehyde,0.0,derivative,851
"1-Penten-3-one, 2-methyl-",1-Penten-3-one,0.0,derivative,850
Toluene,Toluene,1.0,exact,848
Heptanal,heptanal,1.0,exact,847
Methyl salicylate,methyl salicylate,1.0,exact,846
Erucin,erucin,1.0,exact,839
Dodecanoic acid,Dodecanoic acid,1.0,exact,837
Octanal,Octanal,1.0,exact,837
Hexanal,Hexanal,1.0,exact,834
"2,3-Pentanedione","2,3-pentanedione",1.0,exact,831
"Butanal, 3-methyl-",Butanal,0.0,derivative,829
"Benzeneacetaldehyde, α-ethylidene-",Benzeneacetaldehyde,0.0,derivative,825
Octanal,Octanal,1.0,exact,823
"Nonane, 2,2,4,4,6,8,8-heptamethyl-",nonane,0.0,derivative,822
"2,3-Pentanedione","2,3-pentanedione",1.0,exact,821
"2,3-Pentanedione","2,3-pentanedione",1.0,exact,820
Acetic acid ethenyl ester,Acetic Acid,0.0,derivative,820
"Benzeneacetaldehyde, α-ethylidene-",Benzeneacetaldehyde,0.0,derivative,817
"Hexanoic acid, 2-ethyl-",hexanoic acid,0.0,derivative,816
Methional,methional,1.0,exact,814
"2-Decenal, (E)-",2-Decenal,0.0,derivative,813
n-Hexane,n-hexane,1.0,exact,812
"Methylamine, N,N-dimethyl-",methylamine,0.0,derivative,812
2-Hexadecanone,2-Hexadecanone,1.0,exact,811
Hexanal,Hexanal,1.0,exact,811
"Ethanol, 2-(2-butoxyethoxy)-",Ethanol,0.0,derivative,811
Dimethyl sulfone,dimethyl sulfone,1.0,exact,809
"Butanal, 3-methyl-",Butanal,0.0,derivative,808
"Benzeneacetaldehyde, α-ethylidene-",Benzeneacetaldehyde,0.0,derivative,805
γ-Dodecalactone,γ-Dodecalactone,1.0,exact,800
"2-Decenal, (E)-",2-Decenal,0.0,derivative,800
"Benzeneacetaldehyde, α-ethylidene-",Benzeneacetaldehyde,0.0,derivative,798
2-Pentanone,2-Pentanone,1.0,exact,796
"Butanal, 2-methyl-","Butanal, 2-methyl-",1.0,exact,794
1-Pentadecene,1-pentadecene,1.0,exact,788
"2,3-Pentanedione","2,3-pentanedione",1.0,exact,786
"Butanal, 2-methyl-","Butanal, 2-methyl-",1.0,exact,786
"2-Butenal, (Z)-",2-butenal,0.0,derivative,786
"2,3-Pentanedione","2,3-pentanedione",1.0,exact,782
Hexanal,Hexanal,1.0,exact,782
2-Pentanone,2-Pentanone,1.0,exact,781
Dimethyl sulfone,dimethyl sulfone,1.0,exact,781
2-Propenal,"2-Propenal, 3-(1,3-benzodioxol-5-yl)-",0.0,derivative,777
"Butanal, 3-methyl-",Butanal,0.0,derivative,777
"Benzene, 1-methyl-3-(1-methylethyl)-",Benzene,0.0,derivative,774
2-Pentanone,2-Pentanone,1.0,exact,772
Acetone,Acetone,1.0,exact,771
"1-Octanol, 2-butyl-",1-Octanol,0.0,derivative,770
"2-Decenal, (E)-",2-Decenal,0.0,derivative,769
"2,3-Pentanedione","2,3-pentanedione",1.0,exact,766
1-Heptanol,1-Heptanol,1.0,exact,755
"Acetic acid, methoxy-",Acetic Acid,0.0,derivative,751
Hydrocinnamic acid,Hydrocinnamic Acid,1.0,exact,749
Dimethyl sulfone,dimethyl sulfone,1.0,exact,747
"5-Hepten-2-one, 6-methyl-","5-Hepten-2-one, 6-methyl-",1.0,exact,747
"Acetic acid, trifluoro-, 3,7-dimethyloctyl ester",Acetic Acid,0.0,derivative,739
"2,3-Pentanedione","2,3-pentanedione",1.0,exact,737
2-Propenal,"2-Propenal, 3-(1,3-benzodioxol-5-yl)-",0.0,derivative,730
1-Heptanol,1-Heptanol,1.0,exact,727
"Ethanol, 2-nitro-, propionate (ester)",Ethanol,0.0,derivative,716
"5-Hepten-2-one, 6-methyl-","5-Hepten-2-one, 6-methyl-",1.0,exact,712
2-Hexadecanone,2-Hexadecanone,1.0,exact,709
"4-Methylcatechol, 2TMS derivative",4-methylcatechol,0.0,derivative,704
1-Pentadecene,1-pentadecene,1.0,exact,704
"Sulfurous acid, di(2-ethylhexyl) ester",Sulfurous acid,0.0,derivative,703
